Type,Resistive Attack,DiffAttack
hover,-0.15846765,-0.7001827
hover,-0.03169352,-0.3296945
hover,-0.114096686,-0.42942333
hover,-0.050709635,-0.4237884
hover,-0.13311279,-0.4126331
hover,-0.26622558,-1.037794
hover,-0.06972577,-0.45319986
hover,-0.07606446,-0.63279504
hover,-0.08874187,-0.58541024
hover,-0.05704835,-0.40125105
hover,-0.08240315,-0.2729852
hover,-0.06338705,-0.46072167
hover,-0.13311279,-0.4576798
hover,-0.04437094,-0.44055057
hover,-0.10141933,-0.2689005
hover,-0.06338704,-0.24703878
hover,-0.12043536,-0.23940477
hover,-0.06972575,-0.1690594
hover,-0.050709605,-0.17891935
hover,-0.15846765,-0.33634424
hover,-0.04437089,-0.117138565
hover,-0.038032293,-0.19742817
hover,-0.050709605,-0.22512104
hover,-0.06972575,-0.18869516
hover,-0.1838224,-0.41483092
hover,-0.025354862,-0.08310701
hover,-0.107757926,-0.20016134
hover,-0.03169346,-0.09291072
hover,-0.012677431,-0.09930562
hover,-0.019016147,-0.096404
hover,-0.019016147,-0.07676828
hover,-0.40567708,-0.70829827
hover,-0.08240318,-0.23024863
hover,-0.050709605,-0.2297412
hover,-0.012677413,-0.03115813
hover,-0.019016117,-0.0513573
hover,-0.03169352,-0.05594942
hover,-0.08240317,-0.12975992
hover,-0.050709635,-0.12694246
hover,-0.06972575,-0.18407497
hover,-0.05704835,-0.22799465
hover,-0.025354832,-0.066936344
hover,-0.07606444,-0.33710405
hover,-0.012677401,-0.042708516
hover,-0.14579022,-0.26129448
hover,-0.08874187,-0.18923058
hover,-0.06972575,-0.21526113
hover,-0.27256432,-0.45737115
hover,-0.06972575,-0.16790438
hover,-0.11409664,-0.37398124
hover,-0.095080614,-0.27988744
hover,-0.05704838,-0.2256846
hover,-0.07606444,-0.16962287
hover,-0.05704832,-0.12404078
noise,-0.006338716,-0.007493764
noise,-0.12677407,-0.13023919
noise,-0.12043536,-0.17356735
noise,-0.278903,-0.28352314
noise,-0.6465479,-0.65578824
noise,-0.11409664,-0.12102687
noise,-0.07606447,-0.0853048
noise,-0.47540283,-0.52275956
noise,-0.5831608,-0.5912461
noise,-0.3739836,-0.4097899
noise,-0.006338716,-0.007493764
noise,-0.006338716,-0.007493764
noise,-1.6607406,-2.1516337
noise,-0.006338716,-0.007493764
noise,-0.019016117,-0.020171165
noise,-0.006338704,-0.007493753
noise,-0.025354818,-0.026509866
noise,-0.006338704,-0.007493753
noise,-0.101419285,-0.10257433
noise,-0.012677409,-0.013832457
noise,-0.006338708,-0.008648805
noise,-0.006338708,-0.007493757
noise,-0.006338708,-0.009803854
noise,-0.006338708,-0.00864879
noise,-0.006338708,-0.00864879
noise,-0.006338716,-0.008648813
noise,-0.8874186,-0.9197598
noise,-0.46272546,-0.49160153
noise,-0.1394515,-0.14291665
noise,-0.038032055,-0.04380727
noise,-0.03169346,-0.032848477
noise,-0.2662256,-0.27662095
noise,-0.5007577,-0.56544006
noise,-0.34229004,-0.4069724
noise,-0.20283854,-0.23055957
noise,-0.006338716,-0.007493764
noise,-0.01901611,-0.020171158
noise,-0.012677409,-0.014987499
noise,-0.006338716,-0.007493764
noise,-0.012677416,-0.016142543
noise,-0.019016117,-0.0213262
noise,-0.012677409,-0.014987495
noise,-0.012677416,-0.013832457
noise,-0.006338708,-0.007493757
noise,-0.006338716,-0.008648802
noise,-0.006338701,-0.008648783
noise,-0.006338716,-0.008648802
noise,-0.012677431,-0.013832476
noise,-0.006338716,-0.00749376
noise,-0.006338716,-0.008648798
noise,-0.006338716,-0.008648802
noise,-0.006338716,-0.00749376
noise,-0.4183545,-0.43799025
noise,-0.24720949,-0.26453513
noise,-0.8240316,-0.84020215
noise,-0.17748374,-0.18787915
noise,-0.006338716,-0.008648813
noise,-0.5451286,-0.5543689
noise,-0.06338704,-0.06800723
noise,-0.06972575,-0.07203585
noise,-0.08874178,-0.0898968
noise,-0.15212888,-0.15790409
noise,-0.36130613,-0.36823642
noise,-0.33595133,-0.36713743
noise,-0.04437095,-0.07671216
noise,-0.08874184,-0.08989687
noise,-0.12677419,-0.15449521
noise,-0.05704844,-0.06628877
noise,-0.06338704,-0.06685217
noise,-0.17114502,-0.17230007
noise,-0.050709635,-0.051864684
noise,-0.019016113,-0.021326195
noise,-0.025354818,-0.027664907
noise,-0.025354818,-0.0276649
